alacritty 0.16.1-1
apparmor 4.1.3-1
base 3-2
base-devel 1-2
bat 0.26.1-1
brightnessctl 0.5.1-3
btop 1.4.6-1
bun 1.3.5-2
chromium 144.0.7559.59-2
cliphist 1:0.7.0-1
cups 2:2.4.16-1
cups-pdf 3.0.2-1
dosfstools 4.2-5
dunst 1.13.0-1
efibootmgr 18-3
eza 0.23.4-1
fastfetch 2.57.1-1
fd 10.3.0-1
feh 3.11.2-2
firefox 147.0.1-1
flatpak 1:1.16.2-1
foot 1.25.0-1
foot-terminfo 1.25.0-1
fzf 0.67.0-2
gdm 49.2-1
ghostty 1.2.3-2
git 2.52.0-2
gnome-text-editor 49.1-1
go 2:1.25.6-1
gparted 1.7.0-1
grub 2:2.14-1
gucharmap 17.0.1-1
htop 3.4.1-1
hypridle 0.1.7-6
hyprland 0.53.1-1
hyprlock 0.9.2-8
hyprpaper 0.8.1-1
hyprshot 1.3.0-4
i3-wm 4.25-1
i3blocks 1.5-4
i3lock 2.16-1
i3status 2.15-1
intel-media-driver 25.3.4-1
intel-ucode 20251111-1
intellij-idea-community-edition 4:2025.3.1-1
jdk21-temurin 21.0.9.u10-1
jq 1.8.1-1
keychain 2.9.8-1
kitty 0.45.0-4
lazygit 0.58.1-1
ldns 1.9.0-1
libva-utils 2.22.0-1
linux 6.18.5.arch1-1
linux-firmware 20260110-1
man-db 2.13.1-1
man-pages 6.16-1
mpd 0.24.7-1
ncmpcpp 0.10.1-6
neovim 0.11.5-1
network-manager-applet 1.36.0-1
networkmanager 1.54.3-1
noto-fonts 1:2026.01.01-1
openjdk21-doc 21.0.9.u10-1
openjdk21-src 21.0.9.u10-1
otf-font-awesome 7.1.0-1
pacman-contrib 1.13.1-1
pacolog 2.2.1-3
picom 12.5-3
polybar 3.7.2-2
powertop 2.15-2
python-gobject 3.54.5-2
python-pip 25.3-3
python-requests 2.32.5-3
redshift-minimal 1.12-5
reflector 2023-5
ripgrep 15.1.0-1
rofi 2.0.0-1
rpi-imager 2.0.2-1
socat 1.8.1.0-1
sof-firmware 2025.12-1
stow 2.4.1-1
swaync 0.12.3-1
swayosd 0.2.1-2
timeshift 25.12.4-1
tldr 3.4.3-3
tlp 1.9.0-3
tmux 3.6_a-1
tree 2.2.1-1
ttf-fira-code 6.2-2
ttf-hack 3.003-7
ttf-hack-nerd 3.4.0-1
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.4.0-1
ttf-meslo-nerd 3.4.0-1
ttf-ms-win10-auto 10.0.19042.789-6
ttf-nerd-fonts-symbols 3.4.0-1
ttf-roboto 3.014-1
ttf-segoe-ui-variable 1.0-1
ufw 0.36.2-7
vesktop 1.6.3-1
visual-studio-code-bin 1.108.1-1
waybar 0.14.0-6
wget 1.25.0-3
wl-clipboard 1:2.2.1-3
wlogout 1.2.2-0
xborder-git 1.0.0-2
xclip 0.13-6
xdg-desktop-portal-hyprland 1.3.11-3
xf86-video-vesa 2.6.0-2
xorg-bdftopcf 1.1.2-1
xorg-docs 1.7.3-2
xorg-font-util 1.4.1-2
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.21-1
xorg-server-devel 21.1.21-1
xorg-server-xephyr 21.1.21-1
xorg-server-xnest 21.1.21-1
xorg-server-xvfb 21.1.21-1
xorg-sessreg 1.1.4-1
xorg-smproxy 1.0.8-1
xorg-x11perf 1.7.0-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.9-1
xorg-xdpyinfo 1.4.0-1
xorg-xdriinfo 1.0.8-1
xorg-xev 1.2.6-1
xorg-xgamma 1.0.8-1
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkbevd 1.1.6-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.6-2
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xpr 1.2.0-1
xorg-xrandr 1.5.3-1
xorg-xrefresh 1.1.0-1
xorg-xsetroot 1.1.3-2
xorg-xvinfo 1.1.5-2
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
yay 12.5.7-1
yazi 26.1.4-1
zsh 5.9-5
zsh-completions 0.35.0-3
